,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label
567,HoAgPb,0.08,0.027310327,LiGaGe (P63mc),28,Common non-HH Prototype
538,HfPdPt,0.08,0.40287761,phase_separating,30,Phase Separating
1569,RhBiTe,0.08,0.118943457,[FeS2],20,Other non-HH Prototype
1580,CaAgPb,0.079,0.072207653,[LiCaSn],23,Other non-HH Prototype
240,CdHgTe,0.079,0.236816563,phase_separating,30,Phase Separating
1793,HfNiGe,0.078,0,MgSrSi (Pnma),18,Common non-HH Prototype
1105,YbMgSn,0.078,0.104198689,MoNiP (P-62m),28,Common non-HH Prototype
1821,TiPtGe,0.078,0,Half Heusler (F-43m),18,Half Heusler
1009,CdSbTe,0.077,0.49920311,phase_separating,23,Phase Separating
591,AuGeTe,0.077,0.176308145,phase_separating,21,Phase Separating
1198,AuSiBi,0.077,0.309535045,phase_separating,20,Phase Separating
1759,GaPbSb,0.077,0.210516641,phase_separating,12,Phase Separating
1838,CoNiGe,0.077,0.152307173,[InNi2#Co1.75Ge],23,Other non-HH Prototype
1540,IrSbAs,0.077,0.279184904,[CoSb2],19,Other non-HH Prototype
601,BeTiAl,0.077,0.261280662,phase_separating,11,Phase Separating
159,YbAuIn,0.076,0.106753488,MoNiP (P-62m),30,Common non-HH Prototype
848,TiCoAl,0.076,0.315328867,phase_separating,16,Phase Separating
1526,EuAuSb,0.076,0.033348762,AsHgK (P63/mmc),25,Common non-HH Prototype
233,VCoAs,0.076,0.07378662,MgSrSi (Pnma),19,Common non-HH Prototype
1163,LaPtPb,0.075,0.081773538,MoNiP (P-62m),17,Common non-HH Prototype
38,DyAuIn,0.075,0.098829414,MoNiP (P-62m),26,Common non-HH Prototype
1465,ErLiGe,0.075,0.155721063,MoNiP (P-62m),21,Common non-HH Prototype
746,DyRhSb,0.075,0.058195017,MgSrSi (Pnma),26,Common non-HH Prototype
1558,NbZnAl,0.075,0.570914552,[MgZn2],20,Other non-HH Prototype
1646,AgSnTe,0.075,0.197658852,phase_separating,21,Phase Separating
1398,CuGeTe,0.075,0.226634995,phase_separating,21,Phase Separating
971,NaMnSb,0.074,0.295833895,[PbClF],19,Other non-HH Prototype
704,AuGeSb,0.074,0.081590547,phase_separating,20,Phase Separating
496,YbCdSn,0.074,0.098482385,MoNiP (P-62m),32,Common non-HH Prototype
861,IrRhPd,0.074,0.633775363,phase_separating,34,Phase Separating
484,InSbTe,0.073,0.399040266,phase_separating,14,Phase Separating
1120,ZnCdTe,0.073,0.347377417,phase_separating,30,Phase Separating
791,NdBiTe,0.073,0.542906763,phase_separating,17,Phase Separating
1510,PtPbTe,0.073,0.102226978,[FeS2],20,Other non-HH Prototype
439,ZrGeSb,0.072,0.628053213,[UP2#UAs2],13,Other non-HH Prototype
1535,MgAlGe,0.072,0.169829848,phase_separating,15,Phase Separating
1898,InGaSb,0.072,0.207244007,phase_separating,11,Phase Separating
604,TiSiSb,0.071,0.683978009,[UP2#UAs2],13,Other non-HH Prototype
856,RbHgSb,0.071,0.255669292,AsHgK (P63/mmc),24,Common non-HH Prototype
150,TbRhSb,0.071,0.068467933,MgSrSi (Pnma),25,Common non-HH Prototype
155,TbCuSn,0.071,0.001784068,AsHgK (P63/mmc),26,Common non-HH Prototype
767,ErPdPb,0.07,0.033253326,MoNiP (P-62m),34,Common non-HH Prototype
1316,TmLiGe,0.07,0.156770523,MoNiP (P-62m),22,Common non-HH Prototype
435,LuPtAs,0.07,0.042880317,[YPtAs],18,Other non-HH Prototype
649,NdPtPb,0.07,0.057437264,MoNiP (P-62m),20,Common non-HH Prototype
379,TmMgIn,0.07,0.196731287,MoNiP (P-62m),26,Common non-HH Prototype
981,CeYMn,0.07,0.430169015,phase_separating,13,Phase Separating
782,PdSbAs,0.07,0.091088193,[FeS2],26,Other non-HH Prototype
834,AuGaAs,0.07,0.223619245,phase_separating,19,Phase Separating
477,GdLiGe,0.069,0.149172208,MoNiP (P-62m),10,Common non-HH Prototype
1439,WGeAs,0.069,0.66064322,[MoAs2],15,Other non-HH Prototype
1075,CdSnTe,0.069,0.325128689,phase_separating,22,Phase Separating
510,CdInTe,0.069,0.265462878,phase_separating,21,Phase Separating
471,YPdSn,0.068,0.07825413,MgSrSi (Pnma),23,Common non-HH Prototype
80,ReGeAs,0.068,0.473578522,[MoAs2],16,Other non-HH Prototype
1690,TiCrAl,0.068,0.796434353,[MgZn2],13,Other non-HH Prototype
1234,ZrNiGa,0.068,0.179441127,MoNiP (P-62m),17,Common non-HH Prototype
545,YAuIn,0.067,0.102817874,MoNiP (P-62m),17,Common non-HH Prototype
487,HoRhSb,0.067,0.04744275,MgSrSi (Pnma),27,Common non-HH Prototype
1525,SrHgSn,0.067,0.064215615,LiGaGe (P63mc),24,Common non-HH Prototype
979,CeIrPt,0.067,0.699617312,[Laves(cub)#MgCu2],22,Other non-HH Prototype
835,CrCoSi,0.067,0.245725977,MgSrSi (Pnma),19,Common non-HH Prototype
1500,HfSiSb,0.067,0.789994088,[UP2#UAs2],13,Other non-HH Prototype
83,YbPtIn,0.067,0.113557271,MoNiP (P-62m),29,Common non-HH Prototype
322,NiPdGe,0.066,0.202441245,[PbClF],30,Other non-HH Prototype
270,TaVCu,0.066,0.767544464,[Laves(cub)#MgCu2],21,Other non-HH Prototype
1532,LaAuPb,0.066,0,AsHgK (P63/mmc),18,Common non-HH Prototype
115,CeOsIr,0.066,1.001564394,[Laves(cub)#MgCu2],20,Other non-HH Prototype
1836,HfMoRu,0.065,0.734591869,phase_separating,18,Phase Separating
1320,RhSbAs,0.065,0.186518905,[CoSb2],19,Other non-HH Prototype
882,YbIrSn,0.065,0.169425618,MoNiP (P-62m),29,Common non-HH Prototype
739,HfFeAs,0.065,0.229515858,[HoNiGa],17,Other non-HH Prototype
869,HoAuIn,0.065,0.095995439,MoNiP (P-62m),27,Common non-HH Prototype
1315,DyPtSn,0.065,0.06289163,MoNiP (P-62m),26,Common non-HH Prototype
368,UGeTe,0.065,0.550764418,[UGeTe],13,Other non-HH Prototype
1930,UAuGe,0.064,0.291866625,[YPtAs],18,Other non-HH Prototype
281,KHgAs,0.064,0.224355643,AsHgK (P63/mmc),24,Common non-HH Prototype
1547,BaHgSn,0.064,0.10965158,AsHgK (P63/mmc),24,Common non-HH Prototype
430,AuInAs,0.064,0.160255365,phase_separating,19,Phase Separating
993,PtBiTe,0.064,0.144574836,[NiSbS],21,Other non-HH Prototype
577,LaNdFe,0.064,0.247532498,phase_separating,17,Phase Separating
627,LiYGe,0.064,0.152046196,MoNiP (P-62m),10,Common non-HH Prototype
219,YbCdTl,0.064,0.146874731,[CaHg2],31,Other non-HH Prototype
1029,HoPtSn,0.064,0.054435256,MoNiP (P-62m),27,Common non-HH Prototype
344,TiMnAl,0.063,0.580721577,[MgZn2],14,Other non-HH Prototype
1086,AlInSn,0.063,0.078538427,phase_separating,10,Phase Separating
722,EuCuSb,0.062,0.071248195,AsHgK (P63/mmc),25,Common non-HH Prototype
961,PuNiGa,0.062,0.276876287,MoNiP (P-62m),21,Common non-HH Prototype
1879,RbCaAs,0.062,0.293573265,[PbClF],20,Other non-HH Prototype
1658,NaCuTe,0.061,0.080393143,[PbClF],24,Other non-HH Prototype
515,GdRhSb,0.061,0.079182148,MgSrSi (Pnma),17,Common non-HH Prototype
742,MgIrB,0.061,0.360798641,[MgRhB],20,Other non-HH Prototype
1771,MoFeGe,0.061,0,[MgZn2],18,Other non-HH Prototype
1620,SrGaSn,0.061,0.188770528,[YPtAs],15,Other non-HH Prototype
1650,NaAuGe,0.061,0.249104522,[AuEuGe],22,Other non-HH Prototype
168,UPdGa,0.061,0.363064167,MoNiP (P-62m),22,Common non-HH Prototype
429,PtSiSb,0.06,0.303996147,[NiAs2],19,Other non-HH Prototype
12,YbMgAu,0.06,0.129763027,MgSrSi (Pnma),35,Common non-HH Prototype
806,SmBiTe,0.06,0.521993962,phase_separating,19,Phase Separating
1608,ZrGeTe,0.06,0.67218692,[UP2#UAs2],14,Other non-HH Prototype
1041,SiGeAs,0.06,0.470688484,phase_separating,13,Phase Separating
130,CeMnSn,0.06,0.429950043,phase_separating,14,Phase Separating
1429,WFeCo,0.059,0.656540052,phase_separating,23,Phase Separating
770,CrMoW,0.059,0.785415937,phase_separating,18,Phase Separating
317,DyLiGe,0.058,0.153755564,MoNiP (P-62m),19,Common non-HH Prototype
1499,CrRuAs,0.058,0.166889798,MgSrSi (Pnma),19,Common non-HH Prototype
74,CrCoGe,0.058,0.120322819,[InNi2#Co1.75Ge],19,Other non-HH Prototype
1002,VNiGe,0.058,0.128176644,MgSrSi (Pnma),19,Common non-HH Prototype
323,ErRhPb,0.058,0.111293167,[InMg2],27,Other non-HH Prototype
574,CeMgTl,0.058,0.14218032,MoNiP (P-62m),14,Common non-HH Prototype
646,TbIrSb,0.057,0.080481779,MgSrSi (Pnma),25,Common non-HH Prototype
1290,KMnSb,0.057,0.517670455,[PbClF],19,Other non-HH Prototype
598,InPbSb,0.057,0.13472899,phase_separating,12,Phase Separating
16,CrFeAs,0.057,0.005614447,MoNiP (P-62m),19,Common non-HH Prototype
922,VCrW,0.057,0.792810052,phase_separating,17,Phase Separating
908,AgAuSi,0.056,0.123491805,phase_separating,26,Phase Separating
106,HfSiTe,0.056,0.830972653,[ZrSiTe],14,Other non-HH Prototype
482,KHgSb,0.055,0.168284437,AsHgK (P63/mmc),24,Common non-HH Prototype
681,TiCuGe,0.055,0.220662938,MgSrSi (Pnma),19,Common non-HH Prototype
1610,KMgSb,0.055,0.291342673,[PbClF],20,Other non-HH Prototype
1855,CaMgAu,0.055,0.147221403,MgSrSi (Pnma),27,Common non-HH Prototype
641,TmNiSn,0.055,0.057381929,MgSrSi (Pnma),29,Common non-HH Prototype
1693,NbRhGe,0.054,0.054750657,MgSrSi (Pnma),18,Common non-HH Prototype
141,YbCdIn,0.054,0.149928519,[CaIn2],31,Other non-HH Prototype
808,FeCoAs,0.054,0.071277528,MoNiP (P-62m),22,Common non-HH Prototype
889,GdIrSb,0.054,0.094181209,MgSrSi (Pnma),17,Common non-HH Prototype
576,ZnBiTe,0.054,0.486570296,phase_separating,23,Phase Separating
1766,TaCoAs,0.054,0.18790411,MgSrSi (Pnma),19,Common non-HH Prototype
1920,CaMgZn,0.054,0.176338324,[MgZn2],28,Other non-HH Prototype
500,KLiTe,0.054,0.187191982,[PbClF],16,Other non-HH Prototype
1071,AgSbTe,0.053,0.23501071,phase_separating,22,Phase Separating
1643,SrPtSn,0.053,0.258824028,MgSrSi (Pnma),22,Common non-HH Prototype
332,UCuGa,0.053,0.363597683,AsHgK (P63/mmc),17,Common non-HH Prototype
589,TmNiPb,0.053,0.033447353,MgSrSi (Pnma),29,Common non-HH Prototype
1498,DyPdPb,0.053,0.042290212,MoNiP (P-62m),32,Common non-HH Prototype
633,CrRhAs,0.052,0.142046896,MoNiP (P-62m),20,Common non-HH Prototype
212,CaMgCd,0.052,0.189356983,[MgZn2],28,Other non-HH Prototype
526,KSnSb,0.052,0.271276347,[KSnAs],16,Other non-HH Prototype
972,TaNiAs,0.051,0.479058746,MgSrSi (Pnma),20,Common non-HH Prototype
880,TiPdAs,0.051,0.192144357,MoNiP (P-62m),25,Common non-HH Prototype
410,YAgSn,0.051,0.061420445,LiGaGe (P63mc),18,Common non-HH Prototype
1564,LuAuGe,0.05,0.045934788,LiGaGe (P63mc),18,Common non-HH Prototype
366,CrNiPd,0.05,0.507808949,phase_separating,32,Phase Separating
1260,TiMnGe,0.05,0.379467458,[TiFeSi],15,Other non-HH Prototype
67,ScPdGa,0.05,0.214924197,MgSrSi (Pnma),22,Common non-HH Prototype
127,GdPdPb,0.05,0.051426758,MoNiP (P-62m),23,Common non-HH Prototype
947,NdSbTe,0.05,0.573497333,phase_separating,17,Phase Separating
77,YbAgCd,0.05,0.11976227,[MgZn2],39,Other non-HH Prototype
1083,YbZnPb,0.05,0.03802313,LiGaGe (P63mc),32,Common non-HH Prototype
372,TiFeAl,0.049,0.431273668,[MgZn2],15,Other non-HH Prototype
433,CoPbTe,0.049,0.450389047,phase_separating,19,Phase Separating
844,AuSiSb,0.049,0.289657422,phase_separating,20,Phase Separating
1743,LuPtIn,0.049,0.107470263,MoNiP (P-62m),16,Common non-HH Prototype
136,CePtPb,0.049,0.071604384,MoNiP (P-62m),17,Common non-HH Prototype
1784,BaCaSi,0.048,0.111352596,MgSrSi (Pnma),20,Common non-HH Prototype
1067,UMnFe,0.048,0.477229974,[Laves(cub)#MgCu2],18,Other non-HH Prototype
884,LaMgTl,0.048,0.134718201,MoNiP (P-62m),14,Common non-HH Prototype
384,BaCaPb,0.048,0.124001756,MgSrSi (Pnma),20,Common non-HH Prototype
920,TiPtSi,0.048,0.057843139,MgSrSi (Pnma),18,Common non-HH Prototype
948,YMnGa,0.048,0.473381984,[TiFeSi],13,Other non-HH Prototype
793,ZrTiPd,0.047,0.444412898,[MgZn2],24,Other non-HH Prototype
1248,LuIrSn,0.047,0.117913786,MoNiP (P-62m),16,Common non-HH Prototype
626,ZrNiGe,0.047,0.015759655,MgSrSi (Pnma),18,Common non-HH Prototype
1670,NaMnAs,0.047,0.275719868,[PbClF],19,Other non-HH Prototype
248,MgNiGe,0.047,0.120932925,MgSrSi (Pnma),22,Common non-HH Prototype
425,IrCuB,0.047,0.13436264,[CuIrB],23,Other non-HH Prototype
254,UIrGa,0.047,0.300103508,MoNiP (P-62m),15,Common non-HH Prototype
387,YbAuCd,0.047,0.089018905,MgSrSi (Pnma),39,Common non-HH Prototype
185,PrPtPb,0.047,0.064791906,MoNiP (P-62m),19,Common non-HH Prototype
1675,YbPdGa,0.047,0.21005308,MgSrSi (Pnma),35,Common non-HH Prototype
50,PuRhGa,0.047,0.253277053,MoNiP (P-62m),20,Common non-HH Prototype
625,CaMgSn,0.047,0.10371748,MgSrSi (Pnma),20,Common non-HH Prototype
885,YbMgGe,0.047,0.070240403,MgSrSi (Pnma),28,Common non-HH Prototype
1695,TbPdPb,0.047,0.047268101,MoNiP (P-62m),31,Common non-HH Prototype
655,GaSbTe,0.047,0.462915556,phase_separating,14,Phase Separating
1589,MoWSi,0.046,0.775522497,phase_separating,16,Phase Separating
1453,TiFeAs,0.046,0.153590368,MoNiP (P-62m),17,Common non-HH Prototype
202,TaFeGe,0.046,0.106137324,MgSrSi (Pnma),17,Common non-HH Prototype
361,CaCdPb,0.046,0.073804432,MoNiP (P-62m),24,Common non-HH Prototype
295,ZrMoW,0.046,0.822266393,[Laves(cub)#MgCu2],16,Other non-HH Prototype
461,TlPbTe,0.046,0.266231634,phase_separating,13,Phase Separating
480,PuCoGa,0.046,0.271897896,MoNiP (P-62m),20,Common non-HH Prototype
1240,AgAlGe,0.046,0.143577467,phase_separating,18,Phase Separating
161,HfFeGa,0.046,0.370993119,phase_separating,15,Phase Separating
660,YbMgPd,0.046,0.15515035,MgSrSi (Pnma),40,Common non-HH Prototype
1062,MoPdPt,0.046,0.606508573,phase_separating,32,Phase Separating
1545,CaMgSi,0.045,0.091113087,MgSrSi (Pnma),20,Common non-HH Prototype
1907,TiFeCo,0.045,0.47021715,phase_separating,21,Phase Separating
492,NbCoAs,0.045,0.193118305,MgSrSi (Pnma),19,Common non-HH Prototype
1919,TaMoNi,0.045,0.734598696,phase_separating,21,Phase Separating
594,KNaTe,0.045,0.067101473,MgSrSi (Pnma),20,Common non-HH Prototype
1377,BeTiV,0.045,0.478617134,phase_separating,13,Phase Separating
1583,CeAuPb,0.045,0,AsHgK (P63/mmc),18,Common non-HH Prototype
892,SrCdPb,0.045,0.099618437,[KHg2],24,Other non-HH Prototype
858,ZrTiAs,0.045,0.458086323,[La2Sb],13,Other non-HH Prototype
86,TiCoGe,0.044,0.116166139,MoNiP (P-62m),17,Common non-HH Prototype
1726,CaCdGe,0.044,0.043496782,MoNiP (P-62m),24,Common non-HH Prototype
535,TiCrAs,0.044,0.426796191,MoNiP (P-62m),15,Common non-HH Prototype
1692,CaAuAs,0.043,0.138435922,AsHgK (P63/mmc),24,Common non-HH Prototype
689,AgBiTe,0.043,0.234142202,phase_separating,22,Phase Separating
954,CaMgAg,0.043,0.161529569,MgSrSi (Pnma),27,Common non-HH Prototype
559,SmRhSb,0.043,0.101766968,MgSrSi (Pnma),22,Common non-HH Prototype
1586,YRhSn,0.043,0.16911079,MoNiP (P-62m),16,Common non-HH Prototype
63,YMnIn,0.042,0.47107622,[MgZn2],13,Other non-HH Prototype
925,TiVFe,0.042,0.457496883,[MgZn2],17,Other non-HH Prototype
699,UReB,0.042,0.691217147,phase_separating,13,Phase Separating
525,ZrSiSb,0.042,0.757418265,[UP2#UAs2],13,Other non-HH Prototype
530,ScPtGa,0.042,0.184792661,MgSrSi (Pnma),16,Common non-HH Prototype
1107,SrPdAs,0.042,0.37779932,AsHgK (P63/mmc),29,Common non-HH Prototype
1508,ZnPbTe,0.042,0.390051267,phase_separating,22,Phase Separating
160,CaAgSn,0.042,0.114062862,[LiCaSn],23,Other non-HH Prototype
1189,GdPtAs,0.041,0.111203144,[YPtAs],18,Other non-HH Prototype
1835,ThIrGa,0.041,0.248368893,MoNiP (P-62m),16,Common non-HH Prototype
360,HfCrGa,0.041,0.670515408,phase_separating,13,Phase Separating
13,TmMgGa,0.041,0.151336018,MoNiP (P-62m),26,Common non-HH Prototype
1164,TbPdAs,0.041,0.099301155,MgSrSi (Pnma),32,Common non-HH Prototype
1126,CeMnGa,0.041,0.519569399,[Laves(cub)#MgCu2],13,Other non-HH Prototype
898,FeSiSn,0.041,0.439319969,phase_separating,16,Phase Separating
788,YbCuPb,0.041,0.095618059,AsHgK (P63/mmc),31,Common non-HH Prototype
1825,EuMgPb,0.041,0.101777353,MgSrSi (Pnma),21,Common non-HH Prototype
462,TbAgPb,0.041,0.031719232,LiGaGe (P63mc),26,Common non-HH Prototype
331,AuSiTe,0.041,0.414228609,phase_separating,21,Phase Separating
1246,GdAuIn,0.041,0.10257976,MoNiP (P-62m),17,Common non-HH Prototype
134,HoLiGe,0.04,0.154546127,MoNiP (P-62m),20,Common non-HH Prototype
420,YAlSb,0.04,0.667938654,phase_separating,11,Phase Separating
293,YbPdIn,0.04,0.133298919,MoNiP (P-62m),35,Common non-HH Prototype
1135,BaCaSn,0.04,0.12543812,MgSrSi (Pnma),20,Common non-HH Prototype
1175,TiTaNb,0.04,0.792288117,phase_separating,14,Phase Separating
1440,VPdAs,0.04,0.178851899,[Cr2P],26,Other non-HH Prototype
149,TbAuIn,0.04,0.100953626,MoNiP (P-62m),25,Common non-HH Prototype
750,CdGeSb,0.04,0.251437756,phase_separating,21,Phase Separating
1184,YbPtGa,0.04,0.22329929,MgSrSi (Pnma),29,Common non-HH Prototype
1150,SrCuBi,0.04,0.108666584,AsHgK (P63/mmc),24,Common non-HH Prototype
1917,DyNiPb,0.04,0.030071952,MgSrSi (Pnma),26,Common non-HH Prototype
392,CaCdSn,0.04,0.08985685,MoNiP (P-62m),24,Common non-HH Prototype
1449,ScAuAl,0.039,0.164012627,[Mg2Ga],17,Other non-HH Prototype
1236,LuCoSn,0.039,0.119559381,MgSrSi (Pnma),16,Common non-HH Prototype
1748,ZnSnAs,0.039,0.244218908,phase_separating,21,Phase Separating
117,SrCaSn,0.039,0.085037078,MgSrSi (Pnma),20,Common non-HH Prototype
291,SmIrSb,0.039,0.123960917,MgSrSi (Pnma),22,Common non-HH Prototype
1462,ScPtGe,0.039,0.075705652,MgSrSi (Pnma),17,Common non-HH Prototype
1049,DyPdSn,0.039,0.079652203,MgSrSi (Pnma),32,Common non-HH Prototype
87,CaGaSn,0.039,0.165156367,[YPtAs],15,Other non-HH Prototype
1353,LuPtGa,0.038,0.194769127,MgSrSi (Pnma),16,Common non-HH Prototype
544,YbCdGe,0.038,0.035548709,MoNiP (P-62m),32,Common non-HH Prototype
1776,HoNiPb,0.038,0.026508662,MgSrSi (Pnma),27,Common non-HH Prototype
1139,TaNbMo,0.038,0.768587191,phase_separating,16,Phase Separating
1926,HoPdPb,0.038,0.038811577,MoNiP (P-62m),33,Common non-HH Prototype
637,BaCuBi,0.038,0.190247144,AsHgK (P63/mmc),24,Common non-HH Prototype
715,SrPtAs,0.038,0.481512773,AsHgK (P63/mmc),23,Common non-HH Prototype
915,ScCrGa,0.037,0.562320612,phase_separating,12,Phase Separating
654,ErPtAs,0.037,0.056460489,[YPtAs],29,Other non-HH Prototype
414,ScPdZn,0.037,0.181807648,[YAlGe],31,Other non-HH Prototype
1588,HfMnNi,0.037,0.477514166,phase_separating,21,Phase Separating
1266,DyAsTe,0.037,0.568997609,MgSrSi (Pnma),23,Common non-HH Prototype
451,MgCoGe,0.037,0.239054233,[Cu2Sb],21,Other non-HH Prototype
1663,ErAsTe,0.037,0.553694477,MgSrSi (Pnma),25,Common non-HH Prototype
747,IrAsTe,0.037,0.328854222,[FeS2],20,Other non-HH Prototype
103,HfNiAs,0.036,0.192766058,[HoNiGa],19,Other non-HH Prototype
1928,MoNiPd,0.036,0.568555532,phase_separating,32,Phase Separating
364,UPdIn,0.036,0.324685551,MoNiP (P-62m),22,Common non-HH Prototype
659,YbZnIn,0.036,0.123937437,AsHgK (P63/mmc),31,Common non-HH Prototype
1410,ScCrMn,0.036,0.667582816,[MgZn2],16,Other non-HH Prototype
1619,CaAgIn,0.036,0.143686086,[None],22,Other non-HH Prototype
1647,NbPdAl,0.036,0.299381245,phase_separating,24,Phase Separating
1336,URhIn,0.036,0.242307667,MoNiP (P-62m),15,Common non-HH Prototype
1358,YNiPb,0.035,0.084843951,MgSrSi (Pnma),17,Common non-HH Prototype
222,ZrZnGe,0.035,0.436294104,MoNiP (P-62m),20,Common non-HH Prototype
1728,VNiAs,0.035,0.209345122,MgSrSi (Pnma),20,Common non-HH Prototype
517,TaCuAl,0.035,0.420273362,[MgZn2],19,Other non-HH Prototype
1881,SrAuSb,0.034,0.115948082,AsHgK (P63/mmc),24,Common non-HH Prototype
1767,HfTaV,0.034,0.766870686,phase_separating,14,Phase Separating
486,CdGaAs,0.034,0.263527715,phase_separating,20,Phase Separating
798,EuAuAs,0.034,0.196559495,AsHgK (P63/mmc),25,Common non-HH Prototype
569,TmPtAs,0.034,0.046500406,[YPtAs],30,Other non-HH Prototype
504,AgAlSi,0.034,0.169295117,phase_separating,18,Phase Separating
1914,ThNiGa,0.034,0.123873133,MoNiP (P-62m),17,Common non-HH Prototype
214,SrCdSn,0.034,0.12383409,[KHg2],24,Other non-HH Prototype
518,ErMnFe,0.034,0.556150787,[Laves(cub)#MgCu2],29,Other non-HH Prototype
1127,AuBiTe,0.034,0.24405867,phase_separating,22,Phase Separating
828,HfZnAl,0.034,0.331096769,[Laves(cub)#MgCu2],19,Other non-HH Prototype
1077,YbAuZn,0.034,0.150948161,MgSrSi (Pnma),39,Common non-HH Prototype
558,SrMgPb,0.034,0.127835795,MgSrSi (Pnma),20,Common non-HH Prototype
61,ZrPdGe,0.034,0.134682397,MgSrSi (Pnma),24,Common non-HH Prototype
391,CaAuCd,0.034,0.103022438,MgSrSi (Pnma),31,Common non-HH Prototype
927,TaFeNi,0.034,0.686587812,[Laves(cub)#MgCu2],23,Other non-HH Prototype
762,TmAuGe,0.034,0.059666393,LiGaGe (P63mc),30,Common non-HH Prototype
1414,LaCuPb,0.034,0,AsHgK (P63/mmc),18,Common non-HH Prototype
1033,SmPdHg,0.034,0.119540201,MoNiP (P-62m),36,Common non-HH Prototype
6,NbCuAl,0.034,0.388131588,[MgZn2],19,Other non-HH Prototype
1446,SmMgTl,0.033,0.148538628,MoNiP (P-62m),19,Common non-HH Prototype
1016,WFeSi,0.033,0.032496318,[MgZn2],18,Other non-HH Prototype
60,EuAgAs,0.033,0.11499147,AsHgK (P63/mmc),25,Common non-HH Prototype
630,GdPdSn,0.033,0.092189511,MgSrSi (Pnma),23,Common non-HH Prototype
1280,TaSiAs,0.033,0.877184732,[UP2#UAs2],14,Other non-HH Prototype
340,SrAgSb,0.033,0.120232188,AsHgK (P63/mmc),24,Common non-HH Prototype
418,DyPtAs,0.033,0.083190748,[YPtAs],27,Other non-HH Prototype
399,NiZnSi,0.033,0.123332768,phase_separating,26,Phase Separating
1883,AgAsTe,0.033,0.308352748,phase_separating,22,Phase Separating
444,YbPtZn,0.032,0.208029793,MgSrSi (Pnma),38,Common non-HH Prototype
1395,CrNiSi,0.032,0.345073669,MgSrSi (Pnma),20,Common non-HH Prototype
899,SmPdSn,0.032,0.104060408,MgSrSi (Pnma),28,Common non-HH Prototype
31,ScAuSi,0.032,0.099577108,[ScAuSi],18,Other non-HH Prototype
1710,TaNbW,0.032,0.767890874,phase_separating,16,Phase Separating
1025,MnRhSi,0.032,0.214468116,MgSrSi (Pnma),20,Common non-HH Prototype
43,AuPbTe,0.032,0.175103167,phase_separating,21,Phase Separating
842,UNiGa,0.032,0.196429753,MoNiP (P-62m),16,Common non-HH Prototype
1215,EuPtSn,0.032,0.223888431,MgSrSi (Pnma),23,Common non-HH Prototype
716,YNiSn,0.032,0.082178428,MgSrSi (Pnma),17,Common non-HH Prototype
1165,YSiSb,0.032,0.642747419,phase_separating,12,Phase Separating
476,ScPtZn,0.032,0.155190515,[YAlGe],25,Other non-HH Prototype
631,CePdPb,0.031,0.074977504,MoNiP (P-62m),23,Common non-HH Prototype
28,BaAuSb,0.031,0.229538865,AsHgK (P63/mmc),24,Common non-HH Prototype
706,PuNiAl,0.031,0.387541522,MoNiP (P-62m),21,Common non-HH Prototype
1666,TiTaNi,0.031,0.476651623,phase_separating,19,Phase Separating
71,NiCuSi,0.031,0.189172369,phase_separating,25,Phase Separating
636,CeLuGe,0.031,0.196325799,phase_separating,10,Phase Separating
605,LaAsTe,0.031,0.597896938,[None],14,Other non-HH Prototype
677,MoAlGe,0.031,0.64792318,[CrSi2],13,Other non-HH Prototype
133,PuCoAl,0.031,0.361158522,MoNiP (P-62m),20,Common non-HH Prototype
841,BaAgBi,0.031,0.128572943,AsHgK (P63/mmc),24,Common non-HH Prototype
213,ReAlSi,0.031,0.549897463,phase_separating,14,Phase Separating
1735,FeNiAs,0.031,0.128927063,MoNiP (P-62m),23,Common non-HH Prototype
1019,LuPdGa,0.031,0.210557358,MgSrSi (Pnma),22,Common non-HH Prototype
1152,PrAgPb,0.031,0.040278293,LiGaGe (P63mc),20,Common non-HH Prototype
595,YbPdZn,0.031,0.181357728,MgSrSi (Pnma),44,Common non-HH Prototype
419,BaCdSn,0.031,0.161988118,[KHg2],24,Other non-HH Prototype
465,TiCuAg,0.031,0.43675881,phase_separating,26,Phase Separating
1769,RhAsTe,0.031,0.228278258,[FeS2],20,Other non-HH Prototype
1807,PbSbTe,0.031,0.405554152,phase_separating,15,Phase Separating
114,CsAuTe,0.03,0.50608396,[RbAuTe],24,Other non-HH Prototype
684,TiNiAs,0.03,0.16941202,MgSrSi (Pnma),19,Common non-HH Prototype
1888,MnFeB,0.03,0.250976282,[CuAl2],18,Other non-HH Prototype
1447,LaRhSb,0.03,0.126659137,MgSrSi (Pnma),17,Common non-HH Prototype
467,TbPdSn,0.03,0.085972833,MgSrSi (Pnma),31,Common non-HH Prototype
1740,NbFeGe,0.03,0.110042548,[None],17,Other non-HH Prototype
760,TaNiAl,0.03,0.120226948,[MgZn2],18,Other non-HH Prototype
408,TiVMo,0.03,0.69591469,phase_separating,15,Phase Separating
190,SrCaSi,0.03,0.068484151,MgSrSi (Pnma),20,Common non-HH Prototype
709,CdBiTe,0.029,0.449494117,phase_separating,23,Phase Separating
1137,CaAuAl,0.029,0.2668131,MgSrSi (Pnma),22,Common non-HH Prototype
1709,HfZrTi,0.029,0.808554725,phase_separating,12,Phase Separating
199,LaAuSb,0.029,0.130571951,[YPtAs],19,Other non-HH Prototype
