,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label
502,GdPtSi,0,0.356249708,[LaPtSi],17,Other non-HH Prototype
509,ZrFeAl,0,0.390402461,[MgZn2],15,Other non-HH Prototype
512,ZrVAl,0,0.737571994,[MgZn2],12,Other non-HH Prototype
516,GdNiSi,0,0.297706733,MgSrSi (Pnma),17,Common non-HH Prototype
1687,LaRhZn,0,0.191893576,[LaNiAl],24,Other non-HH Prototype
523,HoPtSi,0,0.327808543,MgSrSi (Pnma),27,Common non-HH Prototype
1563,PrRhGe,0,0.335488069,MgSrSi (Pnma),18,Common non-HH Prototype
339,ErIrGe,0,0.325644632,MgSrSi (Pnma),27,Common non-HH Prototype
531,YPtSi,0,0.351774148,MgSrSi (Pnma),17,Common non-HH Prototype
1463,HoIrIn,0,0.124808165,MoNiP (P-62m),25,Common non-HH Prototype
656,LaIrAl,0,0.329196594,MgSrSi (Pnma),15,Common non-HH Prototype
1456,DyIrSi,0,0.498256823,MgSrSi (Pnma),25,Common non-HH Prototype
203,ErCoGe,0,0.313305977,MgSrSi (Pnma),27,Common non-HH Prototype
752,NdIrGa,0,0.284922564,MgSrSi (Pnma),18,Common non-HH Prototype
1378,SrNiSi,0,0.635684064,[AlB2],22,Other non-HH Prototype
753,HoIrSi,0,0.492073391,MgSrSi (Pnma),26,Common non-HH Prototype
755,ZrFeCo,0,0.474804287,[Laves(cub)#MgCu2],21,Other non-HH Prototype
1375,LaCuIn,0,0.083583973,MoNiP (P-62m),17,Common non-HH Prototype
756,YbIrSi,0,0.526561163,MgSrSi (Pnma),29,Common non-HH Prototype
206,HoRhSi,0,0.431322199,MgSrSi (Pnma),26,Common non-HH Prototype
1369,ErAlGe,0,0.390413796,[YAlGe],21,Other non-HH Prototype
1786,GdZnIn,0,0.06816041,AsHgK (P63/mmc),18,Common non-HH Prototype
768,PrCoSi,0,0.52760786,[PbClF],18,Other non-HH Prototype
769,LaFeSi,0,0.529422785,[PbClF],15,Other non-HH Prototype
204,DyPtSi,0,0.337404766,MgSrSi (Pnma),26,Common non-HH Prototype
389,SmNiIn,0,0.15408465,MoNiP (P-62m),21,Common non-HH Prototype
1384,CePtZn,0,0.186765998,MgSrSi (Pnma),25,Common non-HH Prototype
1359,CeCoRh,0,0.568925245,[Laves(cub)#MgCu2],21,Other non-HH Prototype
196,DyRhIn,0,0.142298512,MoNiP (P-62m),24,Common non-HH Prototype
1354,TbPtAl,0,0.292289039,MgSrSi (Pnma),24,Common non-HH Prototype
194,SmScGe,0,0.199738325,[La2Sb],15,Other non-HH Prototype
785,HoFeAl,0,0.421372779,[MgZn2],24,Other non-HH Prototype
189,SmRhZn,0,0.216432722,MgSrSi (Pnma),29,Common non-HH Prototype
1800,HoAlSi,0,0.427979636,[YAlGe],20,Other non-HH Prototype
1339,YIrAl,0,0.31658807,MgSrSi (Pnma),15,Common non-HH Prototype
800,LaMnSi,0,0.436825756,[PbClF],14,Other non-HH Prototype
803,PrCuGe,0,0.141734158,[SmNiSb],20,Other non-HH Prototype
186,TbRuSi,0,0.587917928,MgSrSi (Pnma),23,Common non-HH Prototype
1328,SmCuGe,0,0.123787763,[SmNiSb],23,Other non-HH Prototype
749,CeCoNi,0,0.539567898,[Laves(cub)#MgCu2],22,Other non-HH Prototype
1386,PrCuCd,0,0.137312043,MoNiP (P-62m),28,Common non-HH Prototype
662,ErRuSi,0,0.522605977,MgSrSi (Pnma),26,Common non-HH Prototype
1428,SmMgPt,0,0.14298123,MoNiP (P-62m),26,Common non-HH Prototype
260,YNiSi,0,0.298581358,MgSrSi (Pnma),17,Common non-HH Prototype
664,HoCoGe,0,0.315235842,MgSrSi (Pnma),26,Common non-HH Prototype
666,SrPdSi,0,0.575003527,[ZrSO],28,Other non-HH Prototype
256,ScMnSi,0,0.417371592,MoNiP (P-62m),14,Common non-HH Prototype
